Year,Month,97 BACKEVIK,138 POINTE-AU-PERE,179 SMOGEN,1049 TEMA,1218 BAIE COMEAU,1592 CENDERING,2112 STENUNGSUND
1900,1,-42.3594,-24.3946,-42.3594,2.4229,-24.3946,87.4422,-140.8291
1900,2,-104.7188,38.7251,-104.7188,14.2574,38.7251,53.2213,-202.448
1900,3,-93.0301,68.4814,-93.0301,16.4225,68.4814,18.8744,-125.6145
1900,4,-53.0068,54.552,-53.0068,6.6343,54.552,-11.4176,-59.0991
1900,5,-73.1921,36.6867,-73.1921,-6.5026,36.6867,-29.16,-94.9929
1900,6,-53.4476,36.5513,-53.4476,-20.0806,36.5513,-57.1091,-51.3549
1900,7,-59.6932,20.0755,-59.6932,-26.099,20.0755,-92.6117,-44.6926
1900,8,-28.2707,-8.9675,-28.2707,-24.4759,-8.9675,-103.719,3.4901
1900,9,58.9203,-36.1747,58.9203,-11.9892,-36.1747,-68.5953,101.4706
1900,10,-0.38103,-37.8524,-0.38103,-4.8999,-37.8524,-9.5137,-23.4087
1900,11,90.6048,-7.5708,90.6048,1.5266,-7.5708,27.8669,66.2478
1900,12,187.6034,13.5902,187.6034,1.6616,13.5902,40.7339,221.4238
1901,1,-17.1316,85.3436,-17.1316,5.9333,85.3436,89.0127,-13.5974
1901,2,-110.9364,96.6868,-110.9364,18.4723,96.6868,110.2279,-170.3395
1901,3,-74.1316,21.9938,-74.1316,21.6199,21.9938,47.517,-142.4437
1901,4,-120.9948,4.0467,-120.9948,14.4152,4.0467,-7.1297,-151.3913
1901,5,-152.7033,19.5724,-152.7033,-1.3486,19.5724,-49.9975,-174.8755
1901,6,-122.3508,26.5247,-122.3508,-17.9316,26.5247,-69.6768,-128.5012
1901,7,-98.2875,18.8054,-98.2875,-16.24,18.8054,-70.5302,-98.7245
1901,8,-67.6941,2.3752,-67.6941,-18.3387,2.3752,-87.5985,-94.0223
1901,9,-36.7492,-9.8104,-36.7492,-9.3864,-9.8104,-79.6472,-96.6581
1901,10,-16.2025,27.674,-16.2025,8.5075,27.674,-23.8281,-1.4146
1901,11,1.3699,27.99,1.3699,22.0291,27.99,42.4353,-1.9935
1901,12,69.6303,-50.5437,69.6303,15.1489,-50.5437,86.3657,88.174
1902,1,-8.5433,40.5941,-8.5433,-0.67112,40.5941,93.9654,8.1663
1902,2,-42.9873,99.794,-42.9873,15.6162,99.794,68.3175,-97.9575
1902,3,-77.3218,43.1147,-77.3218,26.5009,43.1147,22.4375,-142.0473
1902,4,-130.0723,17.1115,-130.0723,8.9358,17.1115,-22.78,-210.0633
1902,5,-126.3985,17.9293,-126.3985,-5.0567,17.9293,-60.5623,-147.1828
