Year,Month,97 BACKEVIK,138 POINTE-AU-PERE,179 SMOGEN,1049 TEMA,1218 BAIE COMEAU,1592 CENDERING,2112 STENUNGSUND
1871,1,-49.3008,-19.9876,-49.3008,12.7372,-19.9876,99.7476,-95.9058
1871,2,-67.2181,24.489,-67.2181,21.1889,24.489,74.4607,-106.8442
1871,3,-94.2952,53.3065,-94.2952,27.7691,53.3065,29.3065,-171.1249
1871,4,-184.9391,69.1556,-184.9391,19.9511,69.1556,-23.0754,-287.2698
1871,5,-171.8665,44.5463,-171.8665,-1.5734,44.5463,-73.544,-243.894
1871,6,-25.2887,8.6137,-25.2887,-20.9083,8.6137,-86.7261,-31.5123
1871,7,64.4543,-5.3232,64.4543,-24.2694,-5.3232,-79.4434,130.8399
1871,8,-22.1223,-15.1787,-22.1223,-17.2151,-15.1787,-72.0374,28.2069
1871,9,-36.3634,-20.9659,-36.3634,-5.4623,-20.9659,-50.571,-42.4315
1871,10,-41.8385,32.7574,-41.8385,10.8833,32.7574,2.3776,-50.2842
1871,11,21.3121,34.7507,21.3121,11.4812,34.7507,54.1206,26.5641
1871,12,180.891,-6.9955,180.891,10.4348,-6.9955,87.4593,202.4705
1872,1,66.2072,31.8645,66.2072,19.5639,31.8645,91.8001,26.2998
1872,2,-47.7271,58.5149,-47.7271,24.7795,58.5149,69.4916,-132.3884
1872,3,-34.198,63.3699,-34.198,27.5419,63.3699,47.5228,-84.1359
1872,4,-44.9697,55.2808,-44.9697,18.8302,55.2808,2.3582,-66.0521
1872,5,-31.9338,25.001,-31.9338,2.0136,25.001,-46.4656,-25.4756
1872,6,-44.3478,4.5801,-44.3478,-13.8852,4.5801,-56.878,-25.5274
1872,7,-46.2147,-4.1948,-46.2147,-16.5201,-4.1948,-60.1183,-23.5059
1872,8,57.7729,-0.9087,57.7729,-8.2936,-0.9087,-65.3656,96.4578
1872,9,125.7287,13.6027,125.7287,5.3696,13.6027,-45.2133,161.7259
