Last_updated,DAM_ID,Project name,Continent,Country,Main_river,Major_Basin,Capacity (MW),Ref_cap,Lat_2016,Lon_2016,Stage,Ref_stage,Start,End,Ref_time,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5
Mar-15,0,Susitna-Watana,North America,United States,Susitna,Pacific and Arctic Coast 1,600.00,,62.7867720000,-148.0257800000,P,,2012,2023,,1,,,,
Mar-15,1,Site C,North America,Canada,Peace,Mackenzie,900.00,,56.2230270000,-120.9524630000,P,,2014,2020,,2,154,,,
Mar-15,2,Gull Island,North America,Canada,Churchill,Churchill,2250.00,,53.0349916667,-61.2135444444,U,,,2028,,3,155,,,
Mar-15,3,Muskrat,North America,Canada,Churchill,Churchill,824.00,,53.2456390000,-60.7727780000,U,,,2017,,3,155,,,
Mar-15,4,Conawapa,North America,Canada,Nelson,Saskatchewan - Nelson,1485.00,,56.5367720000,-94.0294650000,P,,,2022,,4,,,,
Mar-15,5,Courbe Du Sault (Sheldrake),North America,Canada,Churchill,St Lawrence,25.00,,50.2961805556,-64.7646861111,P,,,,,5,156,,,
Mar-15,6,Franquelin,North America,Canada,Manicouagan,St Lawrence,9.90,,49.2992930000,-67.9606020000,P,,,,,5,156,,,
Mar-15,8,Chutes Du Six Milles,North America,Canada,Manicouagan,St Lawrence,13.20,,48.7509055556,-69.2002694444,P,,,,,5,156,,,
Mar-15,9,Pont-Arnaud,North America,Canada,Saguenay,St Lawrence,8.00,,48.4537980000,-71.1647030000,P,,,,,5,156,,,
Mar-15,10,11E Chute (Rivière Mistassini),North America,Canada,Saguenay,St Lawrence,16.00,,49.0018440000,-72.4575810000,P,,,,,5,156,,,
Mar-15,11,Val-Jalbert,North America,Canada,Saguenay,St Lawrence,16.00,,48.3959805556,-72.1658583333,P,,,,,5,156,,,
Mar-15,12,Chute-Garneau,North America,Canada,Saguenay,St Lawrence,5.30,,48.3839220000,-71.1298370000,P,,,,,5,156,,,
Mar-15,13,Manouane Sipi,North America,Canada,St.-Maurice,St Lawrence,22.00,,47.5808833333,-73.6612944444,P,,,,,5,156,,,
Mar-15,14,Hydro-Canyon Saint-Joachim,North America,Canada,Saint John,St Lawrence,23.20,,47.0802611111,-70.8678305556,P,,,,,5,156,,,
Mar-15,15,Saint-Gabriel,North America,Canada,St.-Maurice,St Lawrence,3.30,,46.8244960000,-71.6267400000,P,,,,,5,156,,,
Mar-15,16,Chutes De Sainte-Ursule,North America,Canada,Loup,St Lawrence,1.80,,46.2933805556,-73.0838722222,P,,,,,5,156,,,
Mar-15,17,Murphy Creek,North America,Canada,Columbia,Columbia and Northwestern United States,275.00,,49.1588080000,-117.7260590000,P,,,,,6,5,,,
Mar-15,18,Elaho,North America,Canada,Fraser,Pacific and Arctic Coast 1,200.00,,50.1341250000,-123.4800420000,P,,,,,6,5,,,
Mar-15,19,Mcgregor Lower Canyon,North America,Canada,Fraser,Fraser,360.00,,54.2253230000,-121.7763680000,P,,,,,6,5,,,
Mar-15,20,Border,North America,United States,Columbia,Columbia and Northwestern United States,275.00,,48.9836200000,-117.6417320000,P,,,,,6,5,,,
Mar-15,21,Homathko River,North America,Canada,Nechako,Pacific and Arctic Coast 1,895.00,,51.4019833333,-124.5609555556,P,,,,,6,5,,,
Mar-15,22,Liard River,North America,Canada,Liard,Mackenzie,4318.00,,59.3837388889,-124.8661972222,P,,,,,6,5,,,
Mar-15,23,Iskut River,North America,Canada,Stikine,Pacific and Arctic Coast 1,980.00,,56.9690890000,-130.3373510000,P,,,,,6,5,,,
Mar-15,24,Low Site E,North America,Canada,Peace,Mackenzie,675.00,,56.1227480000,-120.0706280000,P,,,,,6,5,,,
Mar-15,25,Dunvegan,North America,Canada,Peace,Mackenzie,100.00,,55.9284430000,-118.6395350000,P,,,,,5; 7,5,,,
Mar-15,26,Little Jackfish River,North America,Canada,Nipigon,St Lawrence,78.00,,50.4014060000,-88.3114360000,P,,2013,2016,,8; 9,,,,
Mar-15,27,Keeyask,North America,Canada,Nelson,Saskatchewan - Nelson,695.00,,56.3530780000,-95.1832580000,U,,,,,10; 11,,,,
Mar-15,30,Dillingham,North America,United States,Kuskokwim,Pacific and Arctic Coast 1,3.20,,59.7947620000,-158.5529990000,P,,,,,12,,,,
Mar-15,32,Allison Creek,North America,United States,Copper,Pacific and Arctic Coast 1,6.50,,61.0506420000,-146.3524250000,P,,,,,13,157,,,
Mar-15,33,Chikuminuk Lake,North America,United States,Kuskokwim,Pacific and Arctic Coast 1,13.40,,60.1602360000,-158.7471010000,P,,,,,13,,,,
Mar-15,34,Grant Lake,North America,United States,Susitna,Pacific and Arctic Coast 1,5.00,,60.4612700000,-149.3372910000,P,,,,,13,158,,,
Mar-15,35,Ruth Lake,North America,United States,Iliamna Lake Outlet,Pacific and Arctic Coast 1,20.00,,57.5984027778,-156.1162444444,P,,,,,13,159,,,
Mar-15,36,Scenery Lake,North America,United States,Stikine,Pacific and Arctic Coast 1,30.00,,57.0796540000,-132.7892840000,P,,,,,13,160,,,
Mar-15,37,Schubee Lake,North America,United States,Chilkat / Skagway,Pacific and Arctic Coast 1,4.90,,59.3610210000,-135.3224800000,P,,,,,13,,,,
Mar-15,38,Soule,North America,United States,Skeena,Pacific and Arctic Coast 1,75.00,,55.8673694444,-130.0338166667,P,,,,,13,161,,,
Mar-15,39,Petit-Mécatina,North America,Canada,Churchill,St Lawrence,1200.00,,50.8666670000,-65.8166670000,P,,,2026,,10,162,193,,
Mar-15,40,Magpie,North America,Canada,Churchill,St Lawrence,850.00,,50.9930140000,-65.8797460000,P,,,2026,,10,163,,,
Mar-15,41,Romaine 1,North America,Canada,Natashquan,Atlantic Ocean Seaboard,290.00,,50.3835950000,-63.2603500000,U,,,2016,,14,164,194,,
Mar-15,42,Romaine 2,North America,Canada,Natashquan,Atlantic Ocean Seaboard,640.00,,50.6245290000,-63.1928020000,U,,,2014,,14,164,194,,
Mar-15,43,Romaine 3,North America,Canada,Natashquan,Atlantic Ocean Seaboard,395.00,,51.1112805556,-63.4027527778,U,,,2017,,14,164,194,,
Mar-15,44,Romaine 4,North America,Canada,Natashquan,Atlantic Ocean Seaboard,245.00,,51.3491611111,-63.4853611111,U,,,2020,,14,164,194,,
Mar-15,45,Kokish Hydro Project,North America,Canada,Nechako,Pacific and Arctic Coast 2,45.00,,50.4576055556,-126.8123888889,U,,2012,2014,,15,,,,
Mar-15,46,Pehonan,North America,Canada,Saskatchewan,Saskatchewan - Nelson,250.00,,53.2241240000,-104.6930690000,P,,2016,,,16,,,,
Mar-15,47,Amaila Falls S,South America,Guyana,Essequibo,Northeast South America[comma] South Atlantic Coast,165.00,,5.3843638889,-59.5336444444,U,,,2016,,17,165,,,
Mar-15,48,Condor Cliff,South America,Argentina,Santa Cruz,South Argentina[comma] South Atlantic Coast,1140.00,,-50.2139916667,-70.7736333333,P,,,2017,,18,166,,,
Mar-15,49,La Barrancosa,South America,Argentina,Santa Cruz,South Argentina[comma] South Atlantic Coast,600.00,,-50.1861090000,-70.1790780000,P,,,2017,,18; 19,,,,
Mar-15,50,Alvarez Condarco (A Repotenciar),South America,Argentina,Rio Rapel,South America[comma] Colorado,42.00,,-33.0467277778,-68.9965111111,P,,,,,20,,,,
Mar-15,51,Aprov. Integ. Rio Negro - Cierre Allen,South America,Argentina,Negro,Negro,170.00,,-39.0326530000,-67.8551670000,P,,,,,20,,,,
Mar-15,52,Aprov. Integ. Rio Negro - Cierre Mainque,South America,Argentina,Negro,Negro,174.40,,-39.0992930000,-67.3058510000,P,,,,,20,,,,
Mar-15,53,Aprov. Integ. Rio Negro - Cierre Plottier,South America,Argentina,Limay,Negro,102.00,,-38.9801620000,-68.2241540000,P,,,,,20,,,,
Mar-15,54,Aprov. Integ. Rio Negro - Cierre Roca,South America,Argentina,Negro,Negro,168.00,,-39.1101500000,-67.6299480000,P,,,,,20,,,,
Mar-15,55,Aprov. Integ. Rio Negro - Cierre Senillosa,South America,Argentina,Limay,Negro,101.00,,-39.0293190000,-68.4298900000,P,,,,,20,,,,
Mar-15,56,Aprov. Integ. Rio Negro - Cierre Villa Regina,South America,Argentina,Negro,Negro,172.00,,-39.1640722222,-67.1144722222,P,,,,,20,,,,
